epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458224727,2025-02-13T15.50.24.727,0.601,0.061,0.915,0.122
1739458224730,2025-02-13T15.50.24.730,0.604,0.061,0.793,0.183
1739458224731,2025-02-13T15.50.24.731,0.605,-0.061,0.976,0.061
1739458224734,2025-02-13T15.50.24.734,0.608,-0.122,0.976,0.000
1739458224737,2025-02-13T15.50.24.737,0.611,0.061,0.915,0.183
1739458224738,2025-02-13T15.50.24.738,0.612,-0.122,0.854,0.244
1739458224741,2025-02-13T15.50.24.741,0.615,-0.061,0.915,-0.061
1739458224744,2025-02-13T15.50.24.744,0.618,0.122,0.976,0.061
1739458224747,2025-02-13T15.50.24.747,0.621,0.061,0.732,0.122
1739458224749,2025-02-13T15.50.24.749,0.623,-0.061,0.976,0.122
1739458224752,2025-02-13T15.50.24.752,0.626,-0.122,0.976,0.061
1739458224755,2025-02-13T15.50.24.755,0.629,-0.183,1.037,0.061
1739458224756,2025-02-13T15.50.24.756,0.630,-0.183,1.037,0.000
1739458224759,2025-02-13T15.50.24.759,0.633,-0.122,1.037,0.061
1739458224762,2025-02-13T15.50.24.762,0.636,0.000,1.098,0.061
1739458224765,2025-02-13T15.50.24.765,0.639,-0.061,0.976,0.061
1739458224766,2025-02-13T15.50.24.766,0.640,0.000,1.098,0.061
1739458224769,2025-02-13T15.50.24.769,0.643,-0.122,0.854,0.061
1739458224772,2025-02-13T15.50.24.772,0.646,0.183,0.854,0.122
1739458224774,2025-02-13T15.50.24.774,0.648,-0.122,0.976,0.061
1739458224777,2025-02-13T15.50.24.777,0.651,0.000,0.915,0.000
1739458224779,2025-02-13T15.50.24.779,0.653,-0.061,1.098,0.061
1739458224782,2025-02-13T15.50.24.782,0.656,-0.061,1.098,0.183
1739458224784,2025-02-13T15.50.24.784,0.658,0.061,0.915,0.061
1739458224787,2025-02-13T15.50.24.787,0.661,0.061,0.915,0.122
1739458224790,2025-02-13T15.50.24.790,0.664,0.122,0.854,0.183
1739458224791,2025-02-13T15.50.24.791,0.665,0.061,0.854,0.122
1739458224794,2025-02-13T15.50.24.794,0.668,0.122,0.915,0.000
1739458224797,2025-02-13T15.50.24.797,0.671,-0.122,1.037,0.061
1739458224800,2025-02-13T15.50.24.800,0.674,-0.122,1.098,0.183
1739458224801,2025-02-13T15.50.24.801,0.675,-0.183,0.793,0.122
1739458224804,2025-02-13T15.50.24.804,0.678,0.000,0.915,0.061
1739458224807,2025-02-13T15.50.24.807,0.681,0.122,0.976,0.061
1739458224809,2025-02-13T15.50.24.809,0.683,0.000,0.854,0.000
1739458224812,2025-02-13T15.50.24.812,0.686,0.061,0.793,-0.061
1739458224815,2025-02-13T15.50.24.815,0.689,0.244,0.793,0.000
