Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
1.556,0.14200000000000002,-0.15,0.962,-4.39,0.244,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.566,0.14,-0.149,0.965,-5.244,0.549,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.576,0.141,-0.157,0.963,-4.207,1.829,1.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.586,0.141,-0.159,0.951,-2.012,2.439,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.597,0.1405,-0.156,0.9555,-1.098,2.378,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.605,0.14,-0.153,0.96,-1.037,2.683,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.616,0.14200000000000002,-0.1575,0.9724999999999999,-0.915,4.085,1.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.626,0.144,-0.162,0.985,-0.549,6.22,1.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.636,0.149,-0.162,0.984,0.732,10.061,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.646,0.151,-0.159,0.979,2.073,14.024,4.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.657,0.14325,-0.1585,0.96675,4.634,16.463,4.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.665,0.1355,-0.158,0.9545,6.89,17.927,4.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.676,0.12775,-0.1575,0.94225,7.5,15.366,2.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.686,0.12,-0.157,0.93,7.988,11.951,1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.696,0.124,-0.166,0.962,5.976,8.902,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
