time;seconds_elapsed;z;y;x;;delta_time
1,74E+18;2,958515869;-0,06614099;-0,087294727;-0,00509406;;0,010069092
1,74E+18;2,968584961;0,147103117;-0,527895564;0,125205529;;0,010068848
1,74E+18;2,978653809;0,019310265;-0,419403516;-0,023764546;;0,010068115
1,74E+18;2,988721924;-0,079153032;-0,235610855;-0,043382918;;0,010068848
1,74E+18;2,998790771;0,065548869;-0,282340622;-0,119703498;;0,010069092
1,74E+18;3,008859863;-0,095463531;-0,209459985;0,075984836;;0,010069336
1,74E+18;3,018929199;-0,042943654;-0,096509441;0,137872758;;0,010067627
1,74E+18;3,028996826;-0,070784432;0,017788791;0,049233411;;0,010068848
1,74E+18;3,039065674;0,006561258;-0,455334332;0,159757395;;0,010069336
1,74E+18;3,04913501;0,097380178;-0,77693086;0,095782013;;0,010067627
1,74E+18;3,059202637;0,084362291;-0,362240746;0,094886607;;0,010069336
1,74E+18;3,069271973;0,081520345;-0,091481366;0,019471767;;0,010069092
1,74E+18;3,079341064;-0,022027707;-0,115724612;0,02476005;;0,010067871
1,74E+18;3,089408936;0,090509123;-0,19294589;-0,01717929;;0,010069092
1,74E+18;3,099478027;-0,177045251;-0,08564033;-0,030115885;;0,010068848
1,74E+18;3,109546875;-0,133061147;-0,163046828;-0,075985736;;0,010069092
1,74E+18;3,119615967;0,145108728;-0,393608127;-0,077141473;;0,010067871
1,74E+18;3,129683838;-0,024303836;-0,351113349;0,149009919;;0,010069092
1,74E+18;3,13975293;0,167380766;-0,247087066;0,099126008;;0,010068848
1,74E+18;3,149821777;-0,033593642;0,020456668;-0,004311938;;0,010068115
1,74E+18;3,159889893;0,0674246;0,140319804;0,075188128;;0,010068848
1,74E+18;3,16995874;-0,016063246;0,005459489;-0,022993219;;0,010069092
1,74E+18;3,180027832;0,025845804;-0,425275258;-0,039970904;;0,010069092
1,74E+18;3,190096924;-0,004072364;-0,184413058;0,020711604;;0,010068115
1,74E+18;3,200165039;-0,171823717;-0,114309795;0,038157329;;0,010068848
1,74E+18;3,210233887;0,133591893;-0,164850444;-0,019158981;;0,010069092
1,74E+18;3,220302979;-0,04326631;0,156428433;-0,098857529;;0,010068115
1,74E+18;3,230371094;0,067914429;-0,248376612;0,139528426;;0,010068604
1,74E+18;3,240439697;0,074352353;-0,411377446;0,152635817;;0,010069336
1,74E+18;3,250509033;-0,127053432;-0,168390746;0,063203959;;0,010068848
1,74E+18;3,260577881;-0,018110242;-0,328622262;0,085462589;;0,010067871
1,74E+18;3,270645752;0,020501521;-0,134529101;-0,239673282;;0,010069092
1,74E+18;3,280714844;-0,169848033;-0,180201194;-0,058539429;;0,010069092
1,74E+18;3,290783936;-0,005698504;-0,084285097;0,049473809;;0,010067871
1,74E+18;3,300851807;-0,024558103;-0,069796151;-0,110240043;;0,010069092
1,74E+18;3,310920898;0,109058925;-0,130191921;0,022671844;;0,010069092
1,74E+18;3,32098999;0,060875617;-0,11322326;0,017317628;;0,010068848
1,74E+18;3,331058838;0,061760583;-0,267763139;-0,031239809;;0,010068115
1,74E+18;3,341126953;-0,02353402;-0,163441782;0,016881905;;0,010069092
1,74E+18;3,351196045;-0,018905191;-0,001374174;-0,030450819;;0,010068848
1,74E+18;3,361264893;-0,082061613;-0,199552229;-0,010326148;;0,010067871
1,74E+18;3,371332764;0,186702721;-0,152921229;-0,123318647;;0,010069336
1,74E+18;3,3814021;-0,215965056;-0,121145605;-0,103095249;;0,010068604
1,74E+18;3,391470703;0,221592833;-0,562306733;0,055615687;;0,010069336
1,74E+18;3,401540039;-0,071839494;-0,228599278;-0,001487967;;0,010067871
1,74E+18;3,41160791;-0,086960491;0,01110919;-0,104970925;;0,010068848
1,74E+18;3,421676758;0,211884509;-0,085649664;0,12059083;;0,010069336
1,74E+18;3,431746094;-0,069291563;-0,003123575;0,003651995;;0,010067871
1,74E+18;3,441813965;-0,136053315;-0,168912286;0,137883946;;0,010068604
1,74E+18;3,451882568;0,228179226;-0,334070517;0,059298915;;0,010069336
1,74E+18;3,461951904;-0,052689972;-0,283083732;0,084210534;;0,010069092
1,74E+18;3,472020996;-0,011550737;-0,144255217;0,081370434;;0,010067871
1,74E+18;3,482088867;-0,309036723;0,098533092;-0,012207034;;0,010069092
1,74E+18;3,492157959;0,217998023;-0,148147877;0,028337274;;0,010068848
1,74E+18;3,502226807;0,097985158;0,033854101;-0,010401852;;0,010068115
1,74E+18;3,512294922;-0,067656655;0,040173792;-0,014775496;;0,010068848
1,74E+18;3,52236377;0,057420508;-0,038187527;0,069623562;;0,010069336
1,74E+18;3,532433105;0,100676297;0,235571455;0,014194708;;0,010068604
1,74E+18;3,542501709;-0,233028419;0,149299613;0,058233322;;0,010068115
1,74E+18;3,552569824;-0,122608143;-0,485354609;0,228715214;;0,010069336
1,74E+18;3,56263916;0,114259416;-0,827357052;0,098179922;;0,010068848
